Шкаф	Обозначение провода	Откуда идет	Куда поступает
1HV22	0519	XT16-a7	XT17-a7
1HV22	0519	XT17-a7	XT9-b1
1HV22	0519	XT9-a2	XT9-a3
1HV22	0519	XT9-a3	XT10-a7
1HV22	0519	XT9-b1	XT9-b5
1HV22	0519	XT9-b5	XT9-a2
1HV22	0521	XT18-a5	XT18-a7
1HV22	0521	XT18-a9	XT18-a8
1HV22	0521	XT18-a5	XT18-a9
1HV22	0523	XTK18-b2	XTK23-b2
1HV22	0524	XTK20-b2	XTK33-b2
1HV22	751	XT27-a10	XTN06-b12
1HV22	753-3	XT27-a8	XTN06-a10
1HV22	1YC10T97V1	XT10-a9	XT11-a9
1HV22	1YC10T97V1	XT11-a9	XT12-a9
1HV22	1YC10T97V1	XT12-a9	XT13-a9
1HV22	1YC20T97V1	XT14-a9	XT15-a9
1HV22	1YC20T97V1	XT15-a9	XT16-a9
1HV22	1YC20T97V1	XT16-a9	XT17-a9
1HV22	1YZS01H1	XT1-b8	XT2-b8
1HV22	1YZS01H1	XT2-b8	XT3-b8
1HV22	1YZS01H1	XT3-b8	XT4-b8
1HV22	1YZS01H2	XT5-b8	XT6-b8
1HV22	1YZS01H2	XT6-b8	XT7-b8
1HV22	1YZS01H2	XT7-b8	XT8-b8
1HV22	934	XT10-b11	XT11-b11
1HV22	934	XT11-b11	XT12-b11
1HV22	934	XT12-b11	XT13-b11
1HV22	934	XT13-b11	XT14-b11
1HV22	934	XT14-b11	XT15-b11
1HV22	934	XT15-b11	XT16-b11
1HV22	934	XT16-b11	XT17-b11
1HV22	934	XT17-b11	XT18-b11
1HV22	934	XT18-a11	XT21-a11
1HV22	934	XT21-a10	XT18-b2
1HV22	934	XT18-b2	XT18-b3
1HV22	934	XT21-a10	XT18-a11
1HV22	934	XT21-a11	XT10-b11
1HV23	03-08	XT10-b11	XT11-b11
1HV23	03-08	XT11-b11	XT12-b11
1HV23	03-08	XT12-b11	XT13-b11
1HV23	04-08	XT28-b11	XT29-b11
1HV23	04-08	XT29-b11	XT30-b11
1HV23	04-08	XT30-b11	XT31-b11
1HV23	0510-1	XT10-b6	XT11-b6
1HV23	0510-1	XT11-b6	XT12-b6
1HV23	0510-1	XT12-b6	XT13-b6
1HV23	0510-1	XT13-b6	XT28-b6
1HV23	0510-1	XT28-b6	XT29-b6
1HV23	0510-1	XT29-b6	XT30-b6
1HV23	0510-1	XT30-b6	XT31-b6
1HV23	0518-I	XT18-a1	XT18-a4
1HV23	0519	XT10-a7	XT11-a7
1HV23	0519	XT11-a7	XT12-a7
1HV23	0519	XT12-a7	XT13-a7
1HV23	0519	XT13-a7	XT28-a7
1HV23	0519	XT18-a2	XT18-a3
1HV23	0519	XT18-a3	XT10-a7
1HV23	0519	XT18-b1	XT18-b5
1HV23	0519	XT18-b5	XT18-a2
1HV23	0519	XT28-a7	XT29-a7
1HV23	0519	XT29-a7	XT30-a7
1HV23	0519	XT30-a7	XT31-a7
1HV23	0519	XT31-a7	XT18-b1
1HV23	0523	XTK18-a2	XTK23-b2
1HV23	0524	XTK33-a2	XTK20-b2
1HV23	0551	XT14-b9	XT15-b9
1HV23	0551	XT15-b9	XT16-b9
1HV23	0553	XT32-b9	XT33-b9
1HV23	0553	XT33-b9	XT34-b9
1HV23	980-8	XTN06-a12	XTN06-b1
1HV23	751	XT36-a10	XTN06-b12
1HV23	753-4	XT36-a8	XTN06-a10
1HV23	1TX50P04V1	XT14-a9	XT15-a9
1HV23	1TX50P04V1	XT15-a9	XT16-a9
1HV23	1TX60P04V1	XT32-a9	XT33-a9
1HV23	1TX60P04V1	XT33-a9	XT34-a9
1HV23	1YC30T97V1	XT10-a9	XT11-a9
1HV23	1YC30T97V1	XT11-a9	XT12-a9
1HV23	1YC30T97V1	XT12-a9	XT13-a9
1HV23	1YC40T97V1	XT28-a9	XT29-a9
1HV23	1YC40T97V1	XT29-a9	XT30-a9
1HV23	1YC40T97V1	XT30-a9	XT31-a9
1HV23	1YZS01H3	XT1-b8	XT2-b8
1HV23	1YZS01H3	XT2-b8	XT3-b8
1HV23	1YZS01H3	XT3-b8	XT4-b8
1HV23	1YZS01H4	XT19-b8	XT20-b8
1HV23	1YZS01H4	XT20-b8	XT21-b8
1HV23	1YZS01H4	XT21-b8	XT22-b8
1HV24	0555	XT14-b9	XT15-b9
1HV24	0555	XT15-b9	XT16-b9
1HV24	0557	XT32-b9	XT33-b9
1HV24	0557	XT33-b9	XT34-b9
1HV24	751	XT36-a10	XTN06-b12
1HV24	1TX70P04V1	XT14-a9	XT15-a9
1HV24	1TX70P04V1	XT15-a9	XT16-a9
1HV24	1TX80P04V1	XT32-a9	XT33-a9
1HV24	1TX80P04V1	XT33-a9	XT34-a9
1HV25	0501	XT10-b9	XT11-b9
1HV25	0501	XT11-b9	XT12-b9
1HV25	0501	XT12-b9	XT13-b9
1HV25	0501	XT13-b9	XT18-a3
1HV25	0501	XT14-a7	XT15-a7
1HV25	0501	XT15-a7	XT16-a7
1HV25	0501	XT16-a7	XT17-a7
1HV25	0501	XT17-a7	XT10-b9
1HV25	0501	XT18-a3	XT14-a7
1HV25	0502	XT18-a2	XT32-a7
1HV25	0502	XT28-b9	XT29-b9
1HV25	0502	XT29-b9	XT30-b9
1HV25	0502	XT30-b9	XT31-b9
1HV25	0502	XT31-b9	XT18-a2
1HV25	0502	XT32-a7	XT33-a7
1HV25	0502	XT33-a7	XT34-a7
1HV25	0502	XT34-a7	XT35-a7
1HV25	0502	XT35-a7	XT28-b9
1HV25	0503	XT10-a7	XT11-a7
1HV25	0503	XT11-a7	XT12-a7
1HV25	0503	XT12-a7	XT13-a7
1HV25	0503	XT13-a7	XT9-a3
1HV25	0503	XT9-a3	XT10-a7
1HV25	0504	XT28-a7	XT29-a7
1HV25	0504	XT29-a7	XT30-a7
1HV25	0504	XT30-a7	XT31-a7
1HV25	0504	XT31-a7	XT9-a2
1HV25	0504	XT9-a2	XT28-a7
1HV25	0510-2	XT10-b6	XT11-b6
1HV25	0510-2	XT11-b6	XT12-b6
1HV25	0510-2	XT12-b6	XT13-b6
1HV25	0510-2	XT13-b6	XT14-b6
1HV25	0510-2	XT14-b6	XT15-b6
1HV25	0510-2	XT15-b6	XT16-b6
1HV25	0510-2	XT16-b6	XT17-b6
1HV25	0510-2	XT17-b6	XT28-b6
1HV25	0510-2	XT28-b6	XT29-b6
1HV25	0510-2	XT29-b6	XT30-b6
1HV25	0510-2	XT30-b6	XT31-b6
1HV25	0510-2	XT31-b6	XT32-b6
1HV25	0510-2	XT32-b6	XT33-b6
1HV25	0510-2	XT33-b6	XT34-b6
1HV25	0510-2	XT34-b6	XT35-b6
1HV25	0523-1	XT27-a5	XT27-a6
1HV25	0523-1	XT27-a5	XT27-a7
1HV25	0523-3	XTK22-b1	XTK25-b1
1HV25	0524-3	XTK26-b1	XTK27-b1
1HV25	1TX50P04V2	XT10-a9	XT11-a9
1HV25	1TX50P04V2	XT11-a9	XT12-a9
1HV25	1TX50P04V2	XT12-a9	XT13-a9
1HV25	1TX50T97V1	XT14-a9	XT15-a9
1HV25	1TX50T97V1	XT15-a9	XT16-a9
1HV25	1TX50T97V1	XT16-a9	XT17-a9
1HV25	1TX60P04V2	XT28-a9	XT29-a9
1HV25	1TX60P04V2	XT29-a9	XT30-a9
1HV25	1TX60P04V2	XT30-a9	XT31-a9
1HV25	1TX60T97V1	XT32-a9	XT33-a9
1HV25	1TX60T97V1	XT33-a9	XT34-a9
1HV25	1TX60T97V1	XT34-a9	XT35-a9
1HV25	1YZS01H16	XT1-b8	XT2-b8
1HV25	1YZS01H16	XT2-b8	XT3-b8
1HV25	1YZS01H16	XT3-b8	XT4-b8
1HV25	1YZS01H17	XT19-b8	XT20-b8
1HV25	1YZS01H17	XT20-b8	XT21-b8
1HV25	1YZS01H17	XT21-b8	XT22-b8
1HV25	1YZS01H20	XT5-b8	XT6-b8
1HV25	1YZS01H20	XT6-b8	XT7-b8
1HV25	1YZS01H20	XT7-b8	XT8-b8
1HV25	1YZS01H21	XT23-b8	XT24-b8
1HV25	1YZS01H21	XT24-b8	XT25-b8
1HV25	1YZS01H21	XT25-b8	XT26-b8
1HV25	520	XT14-a6	XT15-a6
1HV25	520	XT15-a6	XT16-a6
1HV25	520	XT16-a6	XT17-a6
1HV25	520	XT17-a6	XT32-a6
1HV25	520	XT32-a6	XT33-a6
1HV25	520	XT33-a6	XT34-a6
1HV25	520	XT34-a6	XT35-a6
1HV25	751	XT9-a10	XTN06-b12
1HV25	753-6	XT9-a7	XTN06-a10
1HV25	922	XT27-a11	XT27-b11
1HV26	0501	XT10-b9	XT11-b9
1HV26	0501	XT11-b9	XT12-b9
1HV26	0501	XT12-b9	XT13-b9
1HV26	0501	XT13-b9	XT18-a3
1HV26	0501	XT14-a7	XT15-a7
1HV26	0501	XT15-a7	XT16-a7
1HV26	0501	XT16-a7	XT17-a7
1HV26	0501	XT17-a7	XT10-b9
1HV26	0501	XT18-a3	XT14-a7
1HV26	0502	XT18-a2	XT32-a7
1HV26	0502	XT28-b9	XT29-b9
1HV26	0502	XT29-b9	XT30-b9
1HV26	0502	XT30-b9	XT31-b9
1HV26	0502	XT31-b9	XT18-a2
1HV26	0502	XT32-a7	XT33-a7
1HV26	0502	XT33-a7	XT34-a7
1HV26	0502	XT34-a7	XT35-a7
1HV26	0502	XT35-a7	XT28-b9
1HV26	0503	XT10-a7	XT11-a7
1HV26	0503	XT11-a7	XT12-a7
1HV26	0503	XT12-a7	XT13-a7
1HV26	0503	XT13-a7	XT9-a3
1HV26	0503	XT9-a3	XT10-a7
