Откуда идет	Куда поступает
XM6-002.XT1:13	XL3-017.XT1:1
XM6-002.XT1:15	XM6-002.XT1:19
XM6-002.XT1:17	XL3-018.XT1:1
XM6-002.XT1:19	XM8-001.XT1:3
XM6-002.XT1:3	XM6-002.XT1:7
XM6-002.XT2:10	XM5-008.XT1:1
XM6-002.XT2:12	XM5-008.XT1:2
XM6-002.XT2:14	XM5-009.XT1:1
XM6-002.XT2:16	XM5-009.XT1:2
XM6-002.XT2:18	XM5-010.XT1:1
XM6-002.XT2:2	XM5-006.XT1:1
XM6-002.XT2:20	XM5-010.XT1:2
XM6-002.XT2:4	XM5-006.XT1:2
XM6-002.XT2:6	XM5-007.XT1:1
XM6-002.XT2:8	XM5-007.XT1:2
XM7-001.XT2:4	XM7-002.XT2:4
XM7-003.XT2:4	XM7-004.XT2:4
XM7-004.XT2:4	XM7-005.XT2:4
XM7-005.XT2:4	XM7-006.XT2:4
XM7-007.XT2:4	XM7-008.XT2:4
XM7-009.XT2:4	XM7-010.XT2:4
XM8-001.XT1:11	XM8-001.XT1:15
XM8-001.XT1:13	XL3-020.XT1:1
XM8-001.XT1:15	XM8-001.XT1:19
XM8-001.XT1:7	XM8-001.XT1:3
XM8-001.XT1:9	XL3-019.XT1:1
XM8-001.XT2:10	XM7-003.XT1:1
XM8-001.XT2:12	XM7-003.XT1:2
XM8-001.XT2:14	XM7-004.XT1:1
XM8-001.XT2:16	XM7-004.XT1:2
XM8-001.XT2:18	XM7-005.XT1:1
XM8-001.XT2:2	XM7-001.XT1:1
XM8-001.XT2:20	XM7-005.XT1:2
XM8-001.XT2:4	XM7-001.XT1:2
XM8-001.XT2:6	XM7-002.XT1:1
XM8-001.XT2:8	XM7-002.XT1:2
XM8-002.XT1:11	XM8-002.XT1:15
XM8-002.XT1:19	XM8-001.XT1:19
XM8-002.XT1:3	XM8-002.XT1:7
XM8-002.XT2:10	XM7-009.XT1:1
XM8-002.XT2:12	XM7-009.XT1:2
XM8-002.XT2:14	XM7-010.XT1:1
XM8-002.XT2:16	XM7-010.XT1:2
XM8-002.XT2:18	XM7-006.XT1:1
XM8-002.XT2:2	XM7-007.XT1:1
XM8-002.XT2:20	XM7-006.XT1:2
XM8-002.XT2:4	XM7-007.XT1:2
XM8-002.XT2:6	XM7-008.XT1:1
XM8-002.XT2:8	XM7-008.XT1:2
