Откуда идет	Куда поступает
XA141:B	XL4-014.XT2:4
XA141:C	XL4-014.XT2:5
XB009:A	XM2-001.XT1:5
XB009:B	XM2-001.XT1:9
XB009:C	XM2-001.XT1:7
XB009:E	XM2-001.XT1:13
XB009:F	XM2-001.XT1:17
XB009:G	XM2-001.XT1:15
XB011:A	XL3-002.XT1:1
XB011:B	XL3-002.XT1:3
XB011:C	XL3-001.XT1:3
XB011:E	XL3-004.XT1:1
XB011:F	XL3-004.XT1:3
XB011:G	XL3-003.XT1:3
XB013:A	XM2-001.XT1:1
XB013:B	XM2-001.XT1:3
XB013:C	XM2-002.XT1:1
XB013:D	XM2-002.XT1:5
XB013:E	XM2-002.XT1:9
XB014:A	XM2-002.XT1:13
XB014:B	XM2-002.XT1:15
XB014:C	XM2-002.XT1:17
XB014:D	XM4-001.XT1:1
XB014:E	XM4-001.XT1:5
XB015:A	XM4-001.XT1:9
XB015:B	XM4-001.XT1:11
XB015:C	XM4-001.XT1:13
XB015:D	XM4-001.XT1:17
XB015:E	XM4-002.XT1:1
XB016:A	XM4-002.XT1:5
XB016:B	XM4-002.XT1:7
XB016:C	XM4-002.XT1:9
XB016:D	XM4-002.XT1:13
XB016:E	XM4-002.XT1:17
XB017:A	XM6-001.XT1:1
XB017:B	XM6-001.XT1:3
XB017:C	XM6-001.XT1:5
XB017:D	XM6-001.XT1:9
XB017:E	XM6-001.XT1:13
XB018:A	XM6-001.XT1:17
XB018:B	XM6-001.XT1:19
XB018:C	XM6-002.XT1:1
XB018:D	XM6-002.XT1:5
XB018:E	XM6-002.XT1:9
XB019:A	XM6-002.XT1:13
XB019:B	XM6-002.XT1:15
XB019:C	XM6-002.XT1:17
XB019:D	XM8-001.XT1:1
XB019:E	XM8-001.XT1:5
XB020:A	XM8-001.XT1:9
XB020:B	XM8-001.XT1:11
XB020:C	XM8-001.XT1:13
XB020:D	XM8-001.XT1:17
XB020:E	XM8-002.XT1:17
XB065:A	XL3-005.XT1:1
XB065:B	XL3-006.XT1:3
XB065:C	XL3-005.XT1:3
XB065:E	XL3-007.XT1:1
XB065:F	XL3-008.XT1:3
XB065:G	XL3-007.XT1:3
XB066:A	XL3-009.XT1:1
XB066:B	XL3-010.XT1:3
XB066:C	XL3-009.XT1:3
XB066:E	XL3-011.XT1:1
XB066:F	XL3-012.XT1:3
XB066:G	XL3-011.XT1:3
XB067:A	XL3-013.XT1:1
XB067:B	XL3-014.XT1:3
XB067:C	XL3-013.XT1:3
XB067:E	XL3-015.XT1:1
XB067:F	XL3-016.XT1:3
XB067:G	XL3-015.XT1:3
XB068:A	XL3-017.XT1:1
XB068:B	XL3-018.XT1:3
XB068:C	XL3-017.XT1:3
XB068:E	XL3-019.XT1:1
XB068:F	XL3-020.XT1:3
XB068:G	XL3-019.XT1:3
XB093:A	XM8-002.XT1:1
XB093:B	XM8-002.XT1:3
XB093:C	XM8-002.XT1:5
XB093:E	XM8-002.XT1:9
XB093:F	XM8-002.XT1:11
XB093:G	XM8-002.XT1:13
XB094:A	XL2-001.XT1:1
XB094:B	XL2-001.XT1:3
XB094:C	XL2-001.XT1:5
XB094:E	XL2-001.XT1:9
XB094:F	XL2-001.XT1:11
XB094:G	XL2-001.XT1:13
XB095:A	XL2-001.XT1:17
XB095:B	XL2-001.XT1:19
XB095:C	XL2-002.XT1:1
XB095:E	XL2-002.XT1:5
XB095:F	XL2-002.XT1:7
XB095:G	XL2-002.XT1:9
XB096:A	XL2-002.XT1:13
XB096:B	XL2-002.XT1:15
XB096:C	XL2-002.XT1:17
